STT,ID_cau_VLSP,Nguon_ZH,Tham_chieu_VI,Ban_dich_He_A,Ban_dich_He_B
139,vi-zh-2022-test-0139,自2019年以来，越南实施了一项总体计划，以落实越南在联合国人权理事会普遍定期审议机制（UPR）第三轮审议周期中采纳的13项建议。,"Kể từ năm 2019 đến nay, Việt Nam đã triển khai kế hoạch tổng thể triển khai thực hiện 13 khuyến nghị Việt Nam chấp thuận theo cơ chế rà soát định kỳ phổ quát về quyền con người chu kỳ III của Hội đồng Nhân quyền Liên hợp quốc (UPR).","Kể từ năm 2019, Việt Nam đã triển khai một kế hoạch tổng thể nhằm thực hiện 13 khuyến nghị đã được thông qua trong chu kỳ Rà soát Định kỳ Phổ quát (UPR) lần thứ ba của Hội đồng Nhân quyền Liên Hợp Quốc.","Từ năm 2019, Việt Nam đã triển khai Kế hoạch tổng thể thực hiện 13 khuyến nghị được Việt Nam thông qua trong chu kỳ rà soát thứ ba của Cơ chế Kiểm điểm định kỳ phổ quát (UPR) của Hội đồng Nhân quyền Liên hợp quốc."
140,vi-zh-2022-test-0140,目前，全国54个少数民族当中有51个享有学生和大学生职业培训优先政策，以为祖国家乡的共同发展事业服务。,"Hiện đã có 51/54 dân tộc thiểu số có học sinh, sinh viên được ưu tiên đào tạo về chuyên môn nghiệp vụ để phục vụ sự nghiệp xây dựng và phát triển quê hương.","Hiện nay, trong số 54 dân tộc thiểu số toàn quốc, có 51 dân tộc được hưởng chính sách ưu tiên đào tạo nghề cho học sinh, sinh viên, nhằm phục vụ sự nghiệp phát triển chung của quê hương đất nước.","Hiện nay, 51/54 dân tộc thiểu số trong cả nước được hưởng chính sách ưu tiên đào tạo nghề cho học sinh, sinh viên phục vụ sự phát triển chung của quê hương, quê hương."
141,vi-zh-2022-test-0141,我现在每天都要工作12个小时,Bây giờ mỗi ngày mẹ đều phải làm việc 12 tiếng.,Hiện tại mỗi ngày tôi phải làm việc 12 tiếng đồng hồ.,Bây giờ tôi phải làm việc 12 giờ một ngày
142,vi-zh-2022-test-0142,我觉得我最喜欢吃重庆的火锅，因为特别辣,"Tôi thấy tôi thích ăn lẩu Trùng Khánh nhất, bởi vì nó cực kỳ cay.",Tôi thấy mình thích nhất món lẩu Trùng Khánh vì nó rất cay.,Tôi nghĩ tôi thích ăn lẩu Trùng Khánh nhất vì nó rất cay.
143,vi-zh-2022-test-0143,迄今，广播和电视覆盖了95%的少数民族乡坊。,"Đến nay, 95% số xã vùng dân tộc thiểu số được phủ sóng phát thanh truyền hình.","Đến nay, đài phát thanh và truyền hình đã phủ sóng 95% các xã có đồng bào dân tộc thiểu số.","Đến nay đài phát thanh, truyền hình đã phủ sóng tới 95% thôn bản của người dân tộc thiểu số."
144,vi-zh-2022-test-0144,1.6万个乡级文化邮局得到建设，确保信息畅通无阻，满足少数民族同胞多样化的信息需求。,"16.000 điểm bưu điện văn hóa xã đã được xây dựng, đảm bảo thông tin liên lạc thông suốt, đáp ứng nhu cầu thông tin liên lạc đa dạng của người dân.","Đã xây dựng 16.000 bưu điện văn hóa cấp hương, đảm bảo thông tin thông suốt, đáp ứng nhu cầu thông tin đa dạng của đồng bào dân tộc thiểu số.","16.000 bưu cục văn hóa cấp thị trấn được xây dựng nhằm đảm bảo luồng thông tin thông suốt, đáp ứng nhu cầu thông tin đa dạng của đồng bào các dân tộc thiểu số."
145,vi-zh-2022-test-0145,在美国、英国和澳大利亚9月16日宣布创建“澳英美联盟”（AUKUS）后，美国与包括法国在内欧洲各国的多年盟友关系正面临风波。,"Quan hệ đồng minh lâu năm giữa Mỹ và các nước châu Âu, đứng đầu là Pháp, đang đối mặt với thách thức mới, sau sự kiện ba nước Mỹ, Anh và Australia công bố thỏa thuận thành lập liên minh mang tên AUKUS hôm 16/9.","Sau khi Hoa Kỳ, Anh và Úc tuyên bố thành lập ""Liên minh Úc-Anh-Mỹ"" (AUKUS) vào ngày 16 tháng 9, mối quan hệ đồng minh nhiều năm giữa Hoa Kỳ và các nước châu Âu, bao gồm cả Pháp, đang đối mặt với sóng gió.","Sau khi Mỹ, Anh và Australia tuyên bố thành lập ""Liên minh Australia-Anh-Mỹ"" (AUKUS) ngày 16/9, liên minh lâu đời giữa Mỹ và các nước châu Âu, trong đó có Pháp, đang đối mặt với tình trạng hỗn loạn."
146,vi-zh-2022-test-0146,过去期间，法国多次采取强硬手段。,"Trong quá khứ, Pháp đã không ít lần có phản ứng cứng rắn.","Trong thời gian qua, Pháp đã nhiều lần áp dụng các biện pháp cứng rắn.",Pháp đã nhiều lần thực hiện các biện pháp cứng rắn trong quá khứ.
147,vi-zh-2022-test-0147,2020年，法国退出北约“海上卫队”监视行动，以表达对盟友土耳其的不满。,"Năm 2020, Pháp cũng đã rút khỏi một chiến dịch giám sát hàng hải của NATO, vì mâu thuẫn với một nước thành viên khác trong khối là Thổ Nhĩ Kỳ.","Năm 2020, Pháp đã rút khỏi chiến dịch giám sát ""Lực lượng Hàng hải"" của NATO để bày tỏ sự bất mãn với đồng minh Thổ Nhĩ Kỳ.","Năm 2020, Pháp rút khỏi hoạt động giám sát của ""Hải vệ"" NATO để bày tỏ sự bất bình với đồng minh Thổ Nhĩ Kỳ."
148,vi-zh-2022-test-0148,为平息愤怒，美国国务卿布林肯16日表示，法国是美国在印度洋-太平洋地区的“重要伙伴”，美国会继续同法国密切合作。,"Để xoa dịu tình hình, Ngoại trưởng Mỹ Antony Blinken hôm 16/9 khẳng định Pháp vẫn là một ""đối tác quan trọng"" trong chiến lược của Washington ở châu Á, đồng thời nhấn mạnh rằng không có bất kỳ mối chia rẽ nào ngăn cách lợi ích của các đối tác với Mỹ ở Đại Tây Dương và Ấn Độ Dương.","Để xoa dịu sự tức giận, Ngoại trưởng Hoa Kỳ Blinken ngày 16 cho biết Pháp là ""đối tác quan trọng"" của Mỹ tại khu vực Ấn Độ Dương - Thái Bình Dương và Mỹ sẽ tiếp tục hợp tác chặt chẽ với Pháp.","Để xoa dịu cơn giận, Ngoại trưởng Mỹ Blinken ngày 16 tuyên bố Pháp là “đối tác quan trọng” của Mỹ ở khu vực Ấn Độ Dương - Thái Bình Dương và Mỹ sẽ tiếp tục hợp tác chặt chẽ với Pháp."
149,vi-zh-2022-test-0149,作为2020年1月和2021年4月联合国安理会轮值主席，越南成功举办了多场活动，如联合国宪章公开讨论会、东盟-联合国合作关系会议。,"Đặc biệt trên cương vị Chủ tịch HĐBA tháng 1/2020 và tháng 4/2021, Việt Nam đã tổ chức thành công các sự kiện điểm nhấn, như phiên thảo luận mở về Hiến chương LHQ, Phiên họp về quan hệ hợp tác ASEAN-LHQ (lần đầu tiên trong lịch sử tại HĐBA).","Với vai trò Chủ tịch luân phiên Hội đồng Bảo an Liên Hợp Quốc vào tháng 1 năm 2020 và tháng 4 năm 2021, Việt Nam đã tổ chức thành công nhiều hoạt động như Hội nghị thảo luận công khai về Hiến chương Liên Hợp Quốc, Hội nghị về quan hệ đối tác ASEAN-Liên Hợp Quốc.","Với tư cách là Chủ tịch luân phiên Hội đồng Bảo an Liên hợp quốc vào tháng 1/2020 và tháng 4/2021, Việt Nam đã tổ chức thành công một số sự kiện, như thảo luận mở về Hiến chương Liên hợp quốc và Hội nghị Quan hệ hợp tác ASEAN-Liên hợp quốc."
150,vi-zh-2022-test-0150,他老人家去世52年后，越南人民和国际友人仍对他怀有敬意。,"52 năm kể từ ngày Người đi xa, người dân Việt Nam và bạn bè quốc tế vẫn nhắc đến Người với lòng tôn kính, trân trọng.","Sau 52 năm ông qua đời, nhân dân Việt Nam và bạn bè quốc tế vẫn dành cho ông sự kính trọng.","Năm mươi hai năm sau ngày ông mất, người dân Việt Nam và bạn bè quốc tế vẫn kính trọng ông."
151,vi-zh-2022-test-0151,胡志明主席给越南人民留下了宝贵的精神遗产,Chủ tịch Hồ Chí Minh đã để lại cho dân tộc Việt Nam một di sản tinh thần vô cùng quý báu,Chủ tịch Hồ Chí Minh đã để lại cho nhân dân Việt Nam một di sản tinh thần vô giá.,Chủ tịch Hồ Chí Minh để lại di sản tinh thần quý giá cho nhân dân Việt Nam
152,vi-zh-2022-test-0152,在越南，有关胡志明主席道德榜样的文章、研究项目、观点和论述很多。,"Tại Việt Nam đã có nhiều bài viết, công trình nghiên cứu, ý kiến đánh giá, phân tích về tấm gương đạo đức Hồ Chủ tịch.","Tại Việt Nam, có rất nhiều bài viết, đề tài nghiên cứu, quan điểm và luận bàn về tấm gương đạo đức của Chủ tịch Hồ Chí Minh.","Ở Việt Nam, có rất nhiều bài viết, công trình nghiên cứu, quan điểm, bàn luận về tấm gương đạo đức Hồ Chí Minh."
153,vi-zh-2022-test-0153,阮富仲说：“他老人家是越南爱国主义和革命英雄主义的最美化身，是民族和时代光辉灿烂的道德、智慧、气魄和良心的结晶。,"Nguyễn Phú Trọng nói: “Người là biểu tượng cao đẹp nhất của chủ nghĩa yêu nước và chủ nghĩa anh hùng cách mạng Việt Nam; kết tinh rạng ngời của đạo đức, trí tuệ, khí phách, lương tri của dân tộc và thời đại.","Nguyễn Phú Trọng nói: ""Ông là hiện thân đẹp đẽ nhất của chủ nghĩa yêu nước và chủ nghĩa anh hùng cách mạng Việt Nam, là kết tinh rực rỡ của đạo đức, trí tuệ, khí phách và lương tâm của dân tộc và thời đại.""","Nguyễn Phú Trọng nói: “Người là hiện thân đẹp đẽ nhất của chủ nghĩa yêu nước, chủ nghĩa anh hùng cách mạng Việt Nam, là kết tinh của đạo đức, trí tuệ, lòng dũng cảm và lương tâm vẻ vang của dân tộc và thời đại."
154,vi-zh-2022-test-0154,他老人家把一生不断献给了祖国、同胞，献给解放民族、阶级、社会和开放人类事业。,"Trọn cả cuộc đời, Người đã cống hiến không ngừng, không nghỉ, tất thảy đều hiến dâng cho Tổ quốc, đồng bào, cho sự nghiệp giải phóng dân tộc, giải phóng giai cấp, giải phóng xã hội và giải phóng con người.","Ông đã cống hiến trọn đời mình cho Tổ quốc, đồng bào, cho sự nghiệp giải phóng dân tộc, giai cấp, xã hội và khai phóng nhân loại.","Người đã cống hiến cả cuộc đời mình cho quê hương, đồng bào, sự nghiệp giải phóng dân tộc, giai cấp, xã hội và mở cửa nhân loại."
155,vi-zh-2022-test-0155,因此胡志明主席生前就被载入史册，并成为传奇。,Một vĩ nhân đã đi vào lịch sử và trở thành huyên thoại ngay từ khi Người còn sống”.,"Vì vậy, Chủ tịch Hồ Chí Minh khi còn sống đã được ghi danh vào sử sách và trở thành huyền thoại.","Vì thế, Chủ tịch Hồ Chí Minh đã được ghi vào lịch sử và trở thành huyền thoại trong suốt cuộc đời của Người."
156,vi-zh-2022-test-0156,"因此，除了在地方运动中发挥表率作用外，我还为建设更美好的家做出一切努力，为建设更加繁荣的家乡做出贡献。""","Vì vậy bên cạnh việc vận động, tiên phong trong các phong trào của địa phương, tôi cố gắng hết sức mình để xây dựng cuộc sống gia đình ngày một tốt hơn, chung tay góp sức xây dựng quê hương ngày thêm khởi sắc”.","Vì vậy, ngoài việc làm gương trong các hoạt động địa phương, tôi còn nỗ lực hết mình để xây dựng một mái ấm tốt đẹp hơn, đóng góp vào sự phát triển ngày càng thịnh vượng của quê hương.","Vì vậy, ngoài vai trò lãnh đạo các phong trào ở địa phương, tôi còn nỗ lực hết sức để xây dựng tổ ấm tốt đẹp hơn, góp phần xây dựng quê hương ngày càng giàu đẹp hơn. """
157,vi-zh-2022-test-0157,胡志明市平正县安富西乡三村农民协会分会会长黎氏立多年来积极组织村民建设混凝土道路、升级电网和生活用水系统。,"Tại xã An Phú Tây, huyện Bình Chánh (Thành phố HCM), nhiều năm qua, bà Lê Thị Lập, Chi hội trưởng Chi hội Nông dân ấp 3, đã tích cực tổ chức cho người dân trong thôn làm đường bê tông, nâng cấp lưới điện và hệ thống nước sinh hoạt trong nhiều năm qua.","Bà Lê Thị Lập, Chủ tịch Chi hội Nông dân Làng Ba, xã An Phú Tây, huyện Bình Chánh, Thành phố Hồ Chí Minh, trong nhiều năm qua đã tích cực tổ chức cho bà con nhân dân xây dựng đường bê tông, nâng cấp hệ thống điện và nước sinh hoạt.","Bà Lê Thị Lập, Chủ tịch Chi Hội Nông dân ba thôn, xã An Phú Sai, huyện Bình Trường, TP.HCM, nhiều năm nay đã tích cực tổ chức người dân làm đường bê tông, nâng cấp lưới điện, nước sinh hoạt."
158,vi-zh-2022-test-0158,他老人家最特别的地方是朴素和真诚。,"Nét đặc biệt ở Người là sự khiêm tốn, giản dị, chân thành.",Điểm đặc biệt nhất của ông là sự giản dị và chân thành.,Điều đặc biệt nhất ở anh chính là sự giản dị và chân thành.
159,vi-zh-2022-test-0159,今天，越南进入符合进步时代趋势的新阶段。,"Ngày nay, Việt Nam đã bước sang vận hội mới, phù hợp với xu thế tiến lên của thời đại.","Hôm nay, Việt Nam bước vào một giai đoạn mới phù hợp với xu hướng thời đại tiến bộ.","Ngày nay, Việt Nam đã bước vào một giai đoạn mới phù hợp với xu thế của thời đại tiến bộ."
160,vi-zh-2022-test-0160,除了向全世界宣告一个独立自由的越南已经诞生的特殊意义外，《独立宣言》还具有重大的历史和实践价值，体现了胡志明主席超越时代的智慧和视野。,"Bên cạnh ý nghĩa đặc biệt là tuyên bố với thế giới về sự ra đời của một nước Việt Nam độc lập và tự do, Tuyên ngôn độc lập còn mang những giá trị lịch sử và thực tiễn to lớn, thể hiện trí tuệ và tầm nhìn vượt thời đại của Chủ tịch Hồ Chí Minh.","Ngoài ý nghĩa đặc biệt tuyên bố với thế giới rằng một nước Việt Nam độc lập, tự do đã ra đời, bản Tuyên ngôn Độc lập còn có giá trị lịch sử và thực tiễn to lớn, thể hiện trí tuệ và tầm nhìn vượt thời đại của Chủ tịch Hồ Chí Minh.","Ngoài ý nghĩa đặc biệt là tuyên bố với thế giới rằng một nước Việt Nam độc lập, tự do đã ra đời, Tuyên ngôn Độc lập còn có giá trị lịch sử và thực tiễn to lớn, phản ánh trí tuệ và tầm nhìn vượt thời gian của Chủ tịch Hồ Chí Minh."
161,vi-zh-2022-test-0161,胡志明主席在《独立宣言》的开头强调：“一切人皆生而平等。,"Mở đầu Tuyên ngôn độc lập, Chủ tịch Hồ Chí Minh khẳng định: ""Tất cả mọi người đều sinh ra có quyền bình đẳng.","Chủ tịch Hồ Chí Minh đã nhấn mạnh ngay từ đầu bản Tuyên ngôn Độc lập rằng: ""Tất cả mọi người sinh ra đều có quyền bình đẳng.""",Chủ tịch Hồ Chí Minh nhấn mạnh khi mở đầu Tuyên ngôn Độc lập: “Mọi người sinh ra đều bình đẳng.
162,vi-zh-2022-test-0162,他们应享有天赋的不可侵犯的权利，这是1776年7月4日公布的《美国独立宣言》中的不朽名句，从广义上说，这句话的意思是全世界的各个民族生来就是平等的，无论哪一个民族都有求生存、享受安乐与自由的权利。,"tạo hóa cho họ những quyền không ai có thể xâm phạm được; trong những quyền ấy, có quyền được sống, quyền tự do và quyền mưu cầu hạnh phúc. Lời bất hủ ấy ở trong bản Tuyên ngôn độc lập 4/7/1776 của nước Mỹ.","Họ có các quyền bẩm sinh không thể xâm phạm, đây là câu nói bất hủ trong Tuyên ngôn Độc lập Hoa Kỳ được công bố ngày 4 tháng 7 năm 1776, theo nghĩa rộng, câu này có nghĩa là các dân tộc trên thế giới sinh ra đều bình đẳng, bất kỳ dân tộc nào cũng có quyền sinh tồn, hưởng thụ hạnh phúc và tự do.","Họ phải được hưởng các quyền tự nhiên và bất khả xâm phạm. Đây là câu bất hủ trong Tuyên ngôn Độc lập của Mỹ ngày 4/7/1776. Nói rộng ra, câu này có nghĩa là tất cả các dân tộc trên thế giới sinh ra đều bình đẳng, dân tộc nào cũng có quyền sinh tồn, được hưởng hòa bình, tự do."
163,vi-zh-2022-test-0163,胡志明主席援引世界第一强国——美国《独立宣言》中的人权内容作为其论点的基础，使之成为民族权利观。,"Chủ tịch Hồ Chí Minh trích dẫn nội dung về quyền con người trong Tuyên ngôn độc lập của cường quốc số một thế giới là Mỹ, để làm căn cứ cho lập luận của mình, phát triển thành quan điểm về quyền dân tộc.","Chủ tịch Hồ Chí Minh đã trích dẫn nội dung về quyền con người trong bản Tuyên ngôn Độc lập của cường quốc số một thế giới là Hoa Kỳ để làm cơ sở cho lập luận của mình, biến nó thành quan điểm về quyền dân tộc.","Chủ tịch Hồ Chí Minh lấy nội dung nhân quyền trong Tuyên ngôn Độc lập của nước hùng mạnh nhất thế giới là Hoa Kỳ làm cơ sở cho lập luận của mình, đưa nó trở thành khái niệm về quyền dân tộc."
164,vi-zh-2022-test-0164,这就是《独立宣言》的亮点。”,"Đây là điểm nổi bật của bản ""Tuyên ngôn độc lập""","Đây chính là điểm nhấn của ""Tuyên ngôn Độc lập"".","Đây là điểm nổi bật của Tuyên ngôn Độc lập. """
165,vi-zh-2022-test-0165,几十年来，世界和地区在国防、安全、经济、政治、外交、文化等各个领域的格局发生了巨大变化。,"Trong những thập niên qua, cục diện khu vực và toàn thế giới có nhiều biến động lớn, diễn ra trên hầu hết các lĩnh vực quốc phòng, an ninh, kinh tế, chính trị, ngoại giao, văn hóa….","Trong nhiều thập kỷ, cục diện thế giới và khu vực đã có những thay đổi to lớn trên các phương diện quốc phòng, an ninh, kinh tế, chính trị, ngoại giao, văn hóa, v.v.","Trong vài thập kỷ qua, bối cảnh thế giới và khu vực đã có những thay đổi to lớn trên nhiều lĩnh vực như quốc phòng, an ninh, kinh tế, chính trị, ngoại giao và văn hóa."
166,vi-zh-2022-test-0166,这体现了胡志明主席的现实眼光和宽广的历史视野。,Điều này thể hiện tầm nhìn thực tế và tầm nhìn lịch sử rộng lớn của Chủ tịch Hồ Chí Minh,Điều này thể hiện tầm nhìn thực tế và tầm nhìn lịch sử rộng lớn của Chủ tịch Hồ Chí Minh.,Điều này phản ánh tầm nhìn hiện thực và tầm nhìn lịch sử rộng lớn của Chủ tịch Hồ Chí Minh.
167,vi-zh-2022-test-0167,无论如何也要捍卫国家的独立和自由。”,"Bằng bất cứ giá nào cũng phải giữ cho được độc lập, tự do của đất nước”.",Dù thế nào cũng phải bảo vệ độc lập và tự do của đất nước.,"Độc lập, tự do của đất nước phải được bảo vệ bằng mọi giá. """
168,vi-zh-2022-test-0168,反映客观真理，激发渴望，追随进步社会的共同理想，这是包容性的理想，也是1945年9月2日的《独立宣言》至今仍保持原有价值和生命力的最大源泉。,"Phản ánh sự thật khách quan, khơi dậy khát vọng và đáp ứng lý tưởng chung của xã hội tiến bộ, đó chính là lý tưởng bao trùm nhất, là nguồn năng lượng vô tận để Tuyên ngôn độc lập 2/9/1945 cho đến hôm nay vẫn còn nguyên sức sống và vẹn nguyên giá trị.","Phản ánh chân lý khách quan, khơi dậy khát vọng, theo đuổi lý tưởng chung của xã hội tiến bộ, đây là lý tưởng bao dung, cũng là nguồn gốc lớn nhất khiến bản Tuyên ngôn Độc lập ngày 2 tháng 9 năm 1945 đến nay vẫn giữ nguyên giá trị và sức sống.","Phản ánh chân lý khách quan, khơi dậy khát vọng, đi theo lý tưởng chung của một xã hội tiến bộ là lý tưởng bao dung, là nguồn gốc lớn nhất tạo nên giá trị nguyên gốc và sức sống của Tuyên ngôn Độc lập ngày 2/9/1945."
169,vi-zh-2022-test-0169,上述举措再次彰显越南民族相亲相爱传统，巩固民族大团结精神。,"Những điều này đã một lần nữa tô thắm truyền thống nhân ái, thương người như thể thương thân và củng cố thêm tinh thần đại đoàn kết của dân tộc Việt Nam.","Những biện pháp nêu trên một lần nữa thể hiện truyền thống yêu thương, gắn bó của dân tộc Việt Nam, củng cố tinh thần đại đoàn kết dân tộc.",Các biện pháp trên một lần nữa thể hiện truyền thống yêu thương lẫn nhau và củng cố tinh thần đoàn kết dân tộc của dân tộc Việt Nam.
170,vi-zh-2022-test-0170,面对上述现实，一些人却在网络空间非人道的加以歪曲抹黑。,"Trước thực tế nêu trên, trên không gian mạng, nhiều người đã cố tình bôi bẩn bức tranh đẹp ấy bằng những luận điệu xuyên tạc phi nhân tính.","Đối mặt với thực tế trên, một số người lại bóp méo, bôi nhọ một cách phi nhân tính trên không gian mạng.","Trước thực tế trên, một số người đã bóp méo, bôi nhọ nó một cách vô nhân đạo trên không gian mạng."
171,vi-zh-2022-test-0171,此外，在胡志明市及南部各省疫情严峻，政府决定在上述地方实施更严格社交距离措施的背景下，自由亚洲电台、法国国际广播电台、英国广播公司等却发文抨击越南防疫措施，认为这是错误、反科学的做法。,"Hơn thế nữa, trước diễn biến phức tạp của dịch COVID-19 tại các tỉnh phía Nam, đặc biệt là tại thành phố Hồ Chí Minh, khi Chính phủ quyết định việc thực hiện giãn cách ở mức độ cao hơn ở các địa phương này, thì một số trang mạng như: RFA, RFI, BBC và hệ thống truyền thông hải ngoại, phản động đã đăng các bài viết phê phán cách thức, biện pháp phòng, chống dịch của Việt Nam, cho rằng đó là “biện pháp sai lầm, phi khoa học”.","Thêm vào đó, trong bối cảnh dịch bệnh tại Thành phố Hồ Chí Minh và các tỉnh phía Nam diễn biến phức tạp, chính phủ quyết định áp dụng các biện pháp giãn cách xã hội nghiêm ngặt hơn tại những địa phương này, thì Đài Á Châu Tự Do, Đài RFI, BBC lại đăng bài chỉ trích các biện pháp phòng chống dịch của Việt Nam, cho rằng đây là cách làm sai lầm, phản khoa học.","Ngoài ra, trước tình hình dịch bệnh nghiêm trọng tại TP.HCM và các tỉnh phía Nam, cùng quyết định của Chính phủ triển khai các biện pháp giãn cách xã hội chặt chẽ hơn tại các địa điểm nêu trên, Đài Á Châu Tự Do, Đài Phát thanh Quốc tế Pháp, Đài Phát thanh Truyền hình Anh... đã có bài viết chỉ trích các biện pháp phòng chống dịch của Việt Nam, cho rằng đây là cách tiếp cận sai lầm, phản khoa học."
172,vi-zh-2022-test-0172,敌对势力也就疫苗接种问题宣称“政府的疫苗战略是在骗人”。,"Nói về vấn đề tiêm phòng vaccine ngừa COVID-19, các đối tượng thù địch dùng những giọng điệu lạc lõng rêu rao rằng ""chính quyền lừa dối dân trong chiến lược vaccine"".","Các thế lực thù địch cũng nhân vấn đề tiêm chủng vắc xin mà tuyên bố ""chiến lược vắc xin của chính phủ là lừa dối"".",Các thế lực thù địch còn cho rằng “chiến lược vắc xin của chính phủ là dối trá” về vấn đề tiêm chủng.
173,vi-zh-2022-test-0173,防疫岂容抹黑-第二张照片,"Đập tan mọi luận điệu xuyên tạc công cuộc phòng, chống dịch COVID-19",Phòng chống dịch bệnh sao có thể bị bôi nhọ - ảnh thứ hai,Làm sao chúng ta có thể làm mất uy tín của công tác phòng chống dịch bệnh - ảnh thứ hai
174,vi-zh-2022-test-0174,遵循5K原则，严格实施社交距离措施，努力推进全民接种是各国控制疫情的主要做法。,"Việc tiếp tục triển khai thông điệp 5K, áp dụng giãn cách xã hội nghiêm ngặt cùng với nỗ lực tiêm phòng vaccine cho toàn dân hiện vẫn là giải pháp chủ đạo để ngăn chặn sự lây lan bệnh ở mọi quốc gia trên thế giới.","Tuân thủ nguyên tắc 5K, thực hiện nghiêm các biện pháp giãn cách xã hội và nỗ lực đẩy mạnh tiêm chủng toàn dân là những biện pháp chính mà các quốc gia đang áp dụng để kiểm soát dịch bệnh.","Tuân thủ nguyên tắc 5K, thực hiện nghiêm túc các biện pháp giãn cách xã hội và nỗ lực thúc đẩy tiêm chủng phổ cập là những phương pháp chính để các quốc gia kiểm soát dịch bệnh."
175,vi-zh-2022-test-0175,不难看出，敌对势力抛出歪曲、错误论调就是为了否定越南防疫成果。,"Không khó để nhận thấy những luận điệu xuyên tạc, sai trái của các thế lực thù địch nhằm phủ nhận kết quả phòng chống dịch của Việt Nam.","Không khó để nhận thấy, các thế lực thù địch đưa ra những luận điệu sai lệch, xuyên tạc chính là nhằm phủ nhận thành quả phòng chống dịch bệnh của Việt Nam.","Không khó để nhận thấy các thế lực thù địch đang dùng những xuyên tạc, lý lẽ sai trái để phủ nhận thành tựu phòng chống dịch của Việt Nam."
176,vi-zh-2022-test-0176,全党、全民和全军的团结与决心将是越南战胜疫情的有力武器。,"Sức mạnh đoàn kết, quyết tâm của toàn Đảng, toàn dân, toàn quân Việt Nam sẽ tiếp tục là vũ khí hiệu quả để Việt Nam thắng trong trận chiến phòng chống COVID-19 này.","Sự đoàn kết và quyết tâm của toàn Đảng, toàn dân và toàn quân sẽ là vũ khí mạnh mẽ giúp Việt Nam chiến thắng đại dịch.","Sự đoàn kết, quyết tâm của toàn Đảng, toàn dân, toàn quân sẽ là vũ khí đắc lực của Việt Nam trong chiến thắng dịch bệnh."
177,vi-zh-2022-test-0177,美国中央司令部司令肯尼思·麦肯齐发表声明表示，撤离行动的最后一架C-17军用运输机于美国东部时间30日15时29分（阿富汗当地时间30日23时59分）从喀布尔国际机场起飞。,Tư lệnh Bộ Chỉ huy Trung tâm Hoa Kỳ Kenneth McKenzie đã ra một tuyên bố cho biết chiếc máy bay vận tải quân sự C-17 cuối cùng được rút khỏi Kabul đã khởi hành từ Kabul lúc 15:29 Giờ miền Đông Hoa Kỳ vào ngày 30 (23:59 giờ địa phương Afghanistan vào ngày 30) ra sân bay quốc tế.,"Tư lệnh Bộ Chỉ huy Trung tâm Hoa Kỳ Kenneth McKenzie tuyên bố, chiếc máy bay vận tải quân sự C-17 cuối cùng trong chiến dịch sơ tán đã cất cánh từ sân bay quốc tế Kabul lúc 15:29 giờ miền Đông Hoa Kỳ ngày 30 (23:59 giờ địa phương Afghanistan ngày 30).",Tư lệnh Bộ Tư lệnh Trung ương Hoa Kỳ Kenneth McKenzie đã đưa ra tuyên bố cho biết chiếc máy bay vận tải quân sự C-17 cuối cùng cho chiến dịch sơ tán đã cất cánh từ Sân bay Quốc tế Kabul lúc 15:29 giờ miền Đông ngày 30 (23:59 giờ địa phương ngày 30 ở Afghanistan).
178,vi-zh-2022-test-0178,共有约12.3万名美国人、阿富汗人和第三国公民从喀布尔国际机场撤离阿富汗，成为美国几十年来最大规模的空运行动。,"Tổng cộng có khoảng 123000 người Mỹ, người Afghanistan và công dân nước thứ 3 đã được đưa ra khỏi Afghanistan từ sân bay quốc tế Kabul, trở thành chiến dịch sơ tán qua đường hàng không lớn nhất mà Mỹ thực hiện trong nhiều thập niên qua.","Khoảng 123.000 người Mỹ, người Afghanistan và công dân nước thứ ba đã được sơ tán khỏi Afghanistan qua Sân bay Quốc tế Hamid Karzai, đánh dấu chiến dịch không vận quy mô lớn nhất của Mỹ trong nhiều thập kỷ.","Tổng cộng có khoảng 123.000 người Mỹ, người Afghanistan và công dân nước thứ ba đã sơ tán Afghanistan khỏi Sân bay Quốc tế Kabul, khiến đây trở thành hoạt động không vận lớn nhất của Hoa Kỳ trong nhiều thập kỷ."
179,vi-zh-2022-test-0179,在完成撤军之前，美军销毁、封存或丢弃了大批军事装备和武器。,"Trước khi hoàn tất việc rút quân, quân đội Mỹ đã buộc phải phá hủy, vô hiệu hóa hoặc bỏ lại nhiều trang thiết bị quân sự và vũ khí.","Trước khi hoàn tất rút quân, quân đội Mỹ đã phá hủy, niêm phong hoặc vứt bỏ một lượng lớn trang thiết bị và vũ khí quân sự.","Trước khi hoàn tất việc rút quân, quân đội Mỹ đã phá hủy, niêm phong hoặc vứt bỏ một lượng lớn trang thiết bị, vũ khí quân sự."
